gene	AD.Ex.betweenness	AD.Ex.degree_in	AD.Ex.degree_out	Ctrl.Ex.betweenness	Ctrl.Ex.degree_in	Ctrl.Ex.degree_out	AD.In.betweenness	AD.In.degree_in	AD.In.degree_out	Ctrl.In.betweenness	Ctrl.In.degree_in	Ctrl.In.degree_out	AD.Mic.betweenness	AD.Mic.degree_in	AD.Mic.degree_out	Ctrl.Mic.betweenness	Ctrl.Mic.degree_in	Ctrl.Mic.degree_out	AD.Oli.betweenness	AD.Oli.degree_in	AD.Oli.degree_out	Ctrl.Oli.betweenness	Ctrl.Oli.degree_in	Ctrl.Oli.degree_out
PFKL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	56	0	0	59	0	NA	NA	NA	NA	NA	NA
PFN2	0	64	0	0	69	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	0	0	38	0
PGAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	0	67	0
PGBD5	0	129	0	0	142	0	0	76	0	0	82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGD	0	65	0	0	52	0	0	60	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGLS	0	61	0	0	66	0	0	44	0	0	41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGLYRP1	0	49	0	0	47	0	0	46	0	0	46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82	0	0	84	0	NA	NA	NA	NA	NA	NA
PGP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	68	0	NA	NA	NA	NA	NA	NA
PGPEP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	0	65	0	NA	NA	NA	NA	NA	NA
PHACTR1	0	125	0	0	133	0	0	150	0	0	160	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHACTR3	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
